Country;Share of MVNO subscription over mobile subs. (%) 2018;Share of MNO subscription over mobile subs. (%) 2018;Common ownership ;Hutchinson (3);Vodafone;Iliad (Free);PENETRATION GROWTH RATE (2006-2017);2017 penetration;MNO NUMBER 2017 Q4;AVERAGE YEAR OF MNO EXISTENCE;GROWTH RATE MTR (2013-2017);mtr_2017;GROWTH RATE advanced_3g_coverage_rural (2013-2017);advanced_3g_coverage_rural 2017;GROWTH RATE advanced_4g_coverage_rural (2013-2017);advanced_4g_coverage_rural 2017;GROWTH RATE advanced_4g_coverage (2013-2017);advanced_4g_coverage 2017;GROWTH RATE advanced_3g_coverage (2013-2017);advanced_3g_coverage 2017
Belgium;7,6;92,4;0;0;0;0;7,25081772063086;99,45303522;3;21,6666666666667;0;118,0;31,7790766575123;998552,0;153,0025646034;997369,0;119,464088955614;999874,0;1,14674930870261;999693,0
Bulgaria;;;0;0;0;0;11,0804539815544;120,1404474;;;217,817342272344;71582,0;-99,8984771573604;1,0;;593435,0;;919073,0;-99,9899547965846;1,0
Croatia;;;0;0;0;0;2,5997165196299;103,1730226;3;17,3333333333333;224,549777359236;837465,0;33,4975883482829;972315,0;45,2972293769182;765497,0;288,469733100606;948107,0;5,80950809375017;993874,0
Cyprus;;;0;0;0;0;18,9292102578855;136,1722981;3;31;5475,83607838758;998688,0;-99,9900000909083;99,0;;7775,0;;88,0;9959,59595959596;9959,0
Czech Republic;7,2;92,8;1;0;1;0;-1,42241766485436;118,7512323;3;17,6666666666667;5532,14658400344;917533,0;32,3188762553478;849294,0;;958368,0;8190,7422852377;99406,0;922,832147562582;970412,0
Denmark;;;0;1;0;0;16,3679023633029;124,5728833;4;26;5828,55944055944;635838,0;-98,936170212766;1,0;0;1,0;-99,9998643854491;1,0;-99,9998990590283;1,0
Finland;;;0;0;0;0;20,9199107437959;129,9132285;4;25,25;346,428571428571;125,0;2,29684195801894;994579,0;324,210785332762;999903,0;16,5243191469207;996361,0;100301,909547739;998999,0
Germany;20,1;79,9;1;0;1;0;26,2384517908953;132,7148699;3;24,6666666666667;-94,0540540540541;11,0;1,1686143572621;606,0;33,3839150227618;879,0;1091,35802469136;965,0;-0,759219088937093;915,0
Ireland;9,4;90,6;0;1;1;1;-7,03450874243948;103,0630014;3;22;-99,6850272720289;82,0;14,9503499880988;994847,0;3663804;915976,0;275916,477272727;971578,0;104811,181434599;994558,0
Italy;8,2;91,8;0;1;1;1;0,631286613205684;138,2337679;4;21,5;-99,3555175588583;98,0;24,2227286574802;950084,0;27,417983900345;891945,0;251013,740458015;986877,0;1024429,89690722;993794,0
Japan;10,7;89,3;0;0;0;0;74,3401257113838;135,5186644;3;;;;;;;;;;;
Norway;1,3;98,7;0;0;0;0;3,6474986695294;107,9930692;3;26;;;17,6576441210352;986637,0;-99,7315052688047;996,0;-85,2670861409499;99724,0;-89,6657353904313;99724,0
Portugal;1,7;98,3;0;0;1;0;-1,4031714870662;114,341985;3;25,6666666666667;-36,2204724409449;81,0;30,1735845564721;956591,0;83,4756650099443;935436,0;8,30523195004069;988895,0;3,69727159111538;988207,0
Malta;;;;;;;;;;;;;;;;;;;;
Romania;;;1;0;1;0;51,3422476407283;113,9718904;;;-68,7296416938111;96,0;0,673964084782145;999922,0;253,659228599563;847608,0;274,204227858122;935896,0;0,270843193723577;999957,0
Spain;9,1;90,9;1;0;1;0;10,1804674937039;112,5612499;4;17,75;-99,6565739311257;109,0;4,69738287315835;995157,0;300,225831229101;870167,0;106,255582121089;972229,0;0,838735466730193;998967,0
United Kingdom;;;1;1;1;0;2,88243896176057;118,5404012;4;22,25;3015,36763914307;578773,0;10987,3090481786;94353,0;;954085,0;1479,36507936508;995,0;100410,862944162;990032,0